Simulation,Time,Population,Species,camouflage,feeding_bonus
0,57,0,Prey,0.7989372109292148,
0,57,0,Predator,,1.494730571279785
0,58,0,Prey,0.7989372109292148,
0,58,0,Predator,,1.494730571279785
0,59,0,Prey,0.7989372109292148,
0,59,0,Predator,,1.494730571279785
1,0,59,Prey,0.7940859412419901,
1,0,82,Predator,,1.4686381187368878
1,1,26,Prey,0.7940859412419901,
1,1,87,Predator,,1.4686381187368878
1,2,12,Prey,0.7940859412419901,
1,2,77,Predator,,1.4686381187368878
1,3,9,Prey,0.7940859412419901,
1,3,71,Predator,,1.4686381187368878
1,4,3,Prey,0.7940859412419901,
1,4,60,Predator,,1.4686381187368878
1,5,3,Prey,0.7940859412419901,
1,5,54,Predator,,1.4686381187368878
1,6,4,Prey,0.7940859412419901,
1,6,47,Predator,,1.4686381187368878
1,7,2,Prey,0.7940859412419901,
1,7,39,Predator,,1.4686381187368878
1,8,2,Prey,0.7940859412419901,
1,8,38,Predator,,1.4686381187368878
1,9,2,Prey,0.7940859412419901,
1,9,33,Predator,,1.4686381187368878
1,10,3,Prey,0.7940859412419901,
1,10,31,Predator,,1.4686381187368878
1,11,3,Prey,0.7940859412419901,
1,11,27,Predator,,1.4686381187368878
1,12,1,Prey,0.7940859412419901,
1,12,24,Predator,,1.4686381187368878
1,13,1,Prey,0.7940859412419901,
1,13,22,Predator,,1.4686381187368878
1,14,1,Prey,0.7940859412419901,
1,14,19,Predator,,1.4686381187368878
1,15,1,Prey,0.7940859412419901,
1,15,19,Predator,,1.4686381187368878
1,16,1,Prey,0.7940859412419901,
1,16,19,Predator,,1.4686381187368878
1,17,2,Prey,0.7940859412419901,
1,17,19,Predator,,1.4686381187368878
1,18,3,Prey,0.7940859412419901,
1,18,16,Predator,,1.4686381187368878
1,19,2,Prey,0.7940859412419901,
1,19,14,Predator,,1.4686381187368878
1,20,1,Prey,0.7940859412419901,
1,20,12,Predator,,1.4686381187368878
1,21,1,Prey,0.7940859412419901,
1,21,10,Predator,,1.4686381187368878
1,22,2,Prey,0.7940859412419901,
1,22,10,Predator,,1.4686381187368878
1,23,2,Prey,0.7940859412419901,
1,23,7,Predator,,1.4686381187368878
1,24,1,Prey,0.7940859412419901,
1,24,4,Predator,,1.4686381187368878
1,25,1,Prey,0.7940859412419901,
1,25,4,Predator,,1.4686381187368878
1,26,2,Prey,0.7940859412419901,
1,26,4,Predator,,1.4686381187368878
1,27,2,Prey,0.7940859412419901,
1,27,3,Predator,,1.4686381187368878
1,28,2,Prey,0.7940859412419901,
1,28,3,Predator,,1.4686381187368878
1,29,2,Prey,0.7940859412419901,
1,29,3,Predator,,1.4686381187368878
1,30,4,Prey,0.7940859412419901,
1,30,3,Predator,,1.4686381187368878
1,31,2,Prey,0.7940859412419901,
1,31,3,Predator,,1.4686381187368878
1,32,1,Prey,0.7940859412419901,
1,32,3,Predator,,1.4686381187368878
1,33,2,Prey,0.7940859412419901,
1,33,2,Predator,,1.4686381187368878
1,34,1,Prey,0.7940859412419901,
1,34,2,Predator,,1.4686381187368878
1,35,1,Prey,0.7940859412419901,
1,35,1,Predator,,1.4686381187368878
1,36,1,Prey,0.7940859412419901,
1,36,1,Predator,,1.4686381187368878
1,37,1,Prey,0.7940859412419901,
1,37,1,Predator,,1.4686381187368878
1,38,1,Prey,0.7940859412419901,
1,38,0,Predator,,1.4686381187368878
1,39,2,Prey,0.7940859412419901,
1,39,0,Predator,,1.4686381187368878
1,40,2,Prey,0.7940859412419901,
1,40,0,Predator,,1.4686381187368878
1,41,3,Prey,0.7940859412419901,
1,41,0,Predator,,1.4686381187368878
1,42,4,Prey,0.7940859412419901,
1,42,0,Predator,,1.4686381187368878
1,43,3,Prey,0.7940859412419901,
